ABBREVIATION,SOURCES
MigrantsOM,MigrantsOutreMer (FR)
MigrantTales,Migrant Tales (FI)
Migreurop,Migreurop (FR)
Milliyet,Milliyet  (TR)
Mirror,The Daily Mirror (GB)
MLKO,Martin Luther King Organisation (HU)
MM,Malta Media (MT)
MMP,"Missing Migrants Project, IOM"
MN,"Migration News, University of California (US)"
MNS,Migration News Sheet (GB)
MOAS,Migrant Offfshore Aid Station (MT)
Modkraft,Modkraft (DK)
Monitor,Monitor (NL)
Morgengr.,Morgengrauen – Antirassistische Zeitung (DE)
MorningJournal,The Morning Journal (US)
MornStar,Morning Star (GB)
MorWN,Morocco World News (US)
Moscow Times,The Moscow Times (RU)
MOZ,Märkische Oderzeitung (DE)
MP,Melting Pot Europa (IT)
Mrap,Mouvement contre le Racisme et pour l'Amitié entre les Peuples (FR)
MRAX,"Mouvement contre le racisme, l'antisémitisme et la xénophobie (BE)"
MSF,Médecins Sans Frontières (CH)
MSN,MSNBC (US)
MT,MoroccoTimes (MA)
MUGAK,Centro de Estudios y Documentación sobre Racismo y Xenofobia (ES)
Mumbaicentral,Mumbai Central (IN)
Myjoyonline,My Joy Online (GH)
MZ,Mitteldeutsche Zeitung (DE)
NA,Stowarzyszenie Nigdy Więcej (PL)
Naharnet,Naharnet (LE)
NAN,News Agency Nigeria (NG)
NationalAE,The National (AE)
Secolo,Il Secolo XIX (IT)
Seneweb,Seneweb News (SN)
Servir,Servir (IT)
SetDirecta,Setmanari Directa (ES)
SFH,Schweizerische Flüchtlingshilfe (CH)
SFNM,Santa Fe New Mexican (US)
SH,Sociedad HispaVista (ES)
ShieldsG,Shields Gazette (GB)
SiciliaInf,Sicilia Informazioni (IT)
Skai,Skai (GR)
Sky,Sky News (GB)
slovensko.com,Slovensko (SK)
SM,SundayMail (GB)
SmartG,"Smart Groups, Service For Group Communication"
Socialist Worker,Socialist Worker (GB)
SofiaGlobe,Sofia Globe (BG)
SofiaNewsAgency,Sofia News Agency (BG)
SOHR,Syrian Observatory for Human Rights (SY)
SoirAlgerie,Le Soir d'Algerie (DZ)
SoirInfo,Soir Info (CI)
soli-komitee,soli-komitee-wuppertal (DE)
Solidaire,Solidaire (BE)
Son Dakika,Son Dakika (TR)
Sophia,"European Union Naval Force Mediterranean, Operation Sophia"
SOS,SOS Racismo – Madrid (ES)
SOS-Menschenrechte,SOS Menschenrechte (AT)
SOSMed,SOS Mediterranée
Sozcu,Sozcu (TR)
Spanish Authorities,Spanish Authorities (ES)
Sparta,Spartacist League (US)
Spiegel,Der Spiegel (DE)
Spits,Spits (NL)
Sputnik,Sputnik News (RU)
SSF,Solidarite Sans Frontieres (CH)
Stampa,La Stampa (IT)
StandardHK,The Standard Hong Kong (HK)
Star,The Star (GB)
Statewatch,Statewatch (GB)
Stern,Stern (DE)
StGallerTagblatt,St. Galler Tagblatt (CH)
STR,Stranieri in Italia (IT)
Streatham,Streatham Guardian (GB)
StreetJ,Street Journalist (IR)
Stuff,Stuff (NZ)
SudInfo,Sud Info (BE)
SudQ,Sud Quotidien (SN)
Sun,The Sun (GB)
SunaT,Sunatimes (SO)
SunMY,The Sun Malaysia (MY)
SunNewsOnline,The Sun (DZ)
SUR,Diario Sur (ES)
SurprisingE,Surprising Europe (NL)
Svenska Dagbladet,Svenska Dagbladet (SE)
Sveriges,Sveriges Radio (SE)
Swiss.ch,Swiss Info (CH)
SydHerald,The Sydney Morning Herald (AU)
Symaag,South Yorkshire Migration and Asylum Action Group (GB)
TA,Tages-Anzeiger (CH)
Ta Nea,Ta Nea (GR)
Tagesschau,Aktuelle Nachrichten (DE)
Tagesspiegel,Der Tagesspiegel (DE)
Tampere Digest,Nettime-Tampere Digest
Tanjug,Telegrafska Agencija Nove Jugoslavije (RS)
taz,die tageszeitung (DE)
TDEMD,Turkey Disaster and Emergency Management Directorate (TR)
TDN,Turkish Daily News (TR)
Telegraaf,De Telegraaf (NL)
Telegraph,The Telegraph (GB)
Augen Auf,Augen auf e. V. (DE)
AugenAufCH,Augen auf – Zivilcourage zeigen! (CH)
Aujourd'hui,Aujourd'hui Le Maroc (MA)
Australian,The Australian (AU)
Avgi,I Avgi (GR)
AVUI,AVUI (ES)
AVV,Avvenire Nuova Editoriale Italiana (IT)
AZ,Abendzeitung (DE)
b92,RTV B92 (RS)
Babelmed,Babelmed (IT)
BAIN news,Berlin Antiracist Information Network (DE)
Balkaneu,Balkan News Agency
BalkanInsight,Balkan Investigative Reporting Network
BangkokPost,Bangkok Post (TH)
BarentsObs,Barents Observer (NO)
BAZ,Basler Zeitung (CH)
BBC,British Broadcasting Company (GB)
BDNEWS24,Bangladesh News 24 (BD)
BelT,Belfast Telegraph (GB)
BELT,Belt Ibérica (ES)
Berliner Ztg,Berliner Zeitung (DE)
Berria,Berria (ES)
BGNES,BGNES News Agency (BG)
BGS,Bundespolizei (DE)
Bianet,Bianet Independant Press Agency (TR)
BildungFurAlle,Verein Bildung für Alle (CH)
BirminghamMail,Birmingham Mail (GB)
BIS,"Body, Identity, Space (GB)"
Blackbox,"Blackbox Abschiebung, Miltiadis Oulios, ed. Suhrkamp, 2015 (DE)"
Bladi,Bladi (MA)
Blic,Blic Online (RS)
BLINK,Black Information Link (GB)
Blitz,Blitz Quotidiano (IT)
BM,Bigotry Monitor (US)
BNNVARA,BNN-VARA (NL)
BolognaT,Bologna Today (IT)
BorderlineEU,"borderline-europe, Menschenrechte ohne Grenzen e. V. (DE)"
Borderzerolist,Borderzerolist (IT)
Boston,The Boston Globe (US)
BostonH,Boston Herald (US)
BourEcho,Bournemouth Echo (GB)
br2,Bruxelles2 (BE)
BRC,British Refugee Council (GB)
Breitbart,Breitbart News (US)
BrusselsTimes,The Brussels Times (BE)
BT-Drucksache,Bundestagsdrucksache (DE)
BTB,Belfast to Brussels (GB)
Budapestsun,Budapest Sun (HU)
Bündner Tagblatt,Bündner Tagblatt (CH)
BusStan,Business Standard
CadSER,Cadena SER (ES)
Caminando,Caminando Fronteras (ES)
Can7,Canarias7 (ES)
Canadian,The Canadian Press (CA)
CARF,Campaign Against Racism & Fascism (GB)
Caritas,Caritas International
CaucKnot,Caucasian Knot (RU)
CBC,Canadian Broadcasting Company (CA)
CBS,CBS News (US)
CCLE,Collectif Contre les Expulsions - Liège (BE)
CDM,Corriere Del Mezzogiorno (IT)
CDS,Corriere della Sera (IT)
Cesdop,C. Documentazione Provinciale sulle dipendenze e l'emarginazione (IT)
CeutaTV,Ceuta TV (ES)
CF,Casa free (MA)
CGIL,Confederazione Generale Italiana del Lavoro (IT)
Chabacka,Chabacka (MA)
ChAfrica,Channel Africa (ZA)
ChinaView,China View (CN)
ChNewsAsia,Channel News Asia
CihanNews,Cihan Haber Ajansı (TR)
Citizen,The Citizen (ZA)
Clandestina,Clandestina News (GR)
ClandestinE,Clandestinenglish (GR)
CLUE,Civil Liberties Union for Europe
CMau,Courier Mail (AU)
CMG,Concerned Migrant Group (MA)
CMS,Calais Migrant Solidarity
CNN,Cables News Network (US)
CNNit,Cables News Network (IT)
CoastGuardS,Swedish Coast Guard (SE)
COE,Directorate General Human Rights and Rule of Law
Congoo,Congoo (US)
Connect,ConnectAfrica
COR,Cronache di Ordinario Razzismo (IT)
CorAdriatico,Corriere Adriatico (IT)
Corrispondenti,Corrispondenti.net (IT)
CostaCádiz,Costa Cádiz (ES)
CPD,C'est pour dire (FR)
CPH,The Copenhagen Post (DK)
CR,Comite Rechtsherstel (NL)
CRACPE,Collectif de Résistance Aux Centres Pour Etrangers (BE)
CRIDA report,C. de Recherche et d'Information sur la Démocratie et l'Autonomie (FR)
Grön Ungdom,Grön Ungdom (SE)
GRP,Grupo Payn (AR)
GRP,Grupo Payn (Argentina)
GRR,Giornali Radio Rai (IT)
GuardiaCivil,Guardia Civil (ES)
GuardianNG,Independent daily newspaper (NI)
GuardianUn.,The Observer Guardian Unlimited (GB)
GuidaS,Guida Sicilia (IT)
GuinéenneDroitsdel'Homme,Guinéenne des Droits de l'Homme (GN)
Gulf,Gulf Times (QA)
GulfNews,Gulf News (AE)
GulfToday,The Gulf Today (AE)
GWM,Greek World Media (AU)
Haaba,Haaba (Africa)
Haarlems Dagblad,Haarlems Dagblad (NL)
HabComores,Habariza Comores (KM)
Haberler,Son Haberler (TR)
HaberT,Haber Türk (TR)
Hamburger Abendblatt,Hamburger Abendblatt (DE)
Hart,Hart Van Nederland (NL)
HelCoastG,Hellenic Coast Guard (GR)
HeraldIRL,Herald.ie (IE)
HessenR,Hessen Radio (DE)
Heute,Heute (AT)
HEXAM,The Huddersfield Daily Examiner (GB)
HHC,Hungarian Helsinki Committee (HU)
Hiergeb,Hier Geblieben (DE)
Hilfe MenschenAB,Hilfe für Menschen in Abschiebehaft Büren e. V. (DE)
HimalayanTimes,The Himalayan Times (NP)
Hin,Het laatste Nieuws (BE)
HinduTimes,Hindustan Times (IN)
HNA,Hessen Nachrichten A (DE)
HNS,Hactivist News Service (FR)
Hoy,Málaga Hoy (ES)
HRA,European Human Rights Centre (GB)
HRFT,TİHV / Türkiye İnsan Hakları Vakfı (TR)
HRS,The Human Rights Server (DE)
HRW,Human Rights Watch
humanité,L'Humanité (FR)
Humano,Periodismo Humano (ES)
HURINet,Human Rights Information Network (GB)
HurriyetDN,Hurriyet Daily News (TR)
I OuryJalloh,Förderverein der Initiative in Gedenken an Oury Jalloh e. V. (DE)
i24News,i24NEWS
IAADH,Iniciativa Angolana Antimilitarista para os Direitos Humanos (BR)
IANS,Immigration Advocates Network (US)
IBTimes,International Business Times (GB)
ICARE,Internet Centre Anti Racism Europe (NL)
icB,icBerkshire (GB)
icC,icConventry (GB)
icliverpool,icLiverpool (GB)
ICRC,International Committee of the Red Cross (CH)
icS,icScotland (GB)
Ideal,"Ideal, Noticias e Granada (ES)"
IET,Istituto Euromediterraneo di Trieste (IT)
IFIR,International Federation of Iranian Refugees (NL)
IFRC,International Federation of Red Cross and Red Crescent Societies (CH)
IHFHR,International Helsinki Federation for Human Rights (FI)
IHRC,Islamic Human Rights Commission (GB)
IKN,Informatiedienst Kurdistan Nederland (NL)
ilClandestino,Il Clandestino (IT)
ILD,Il Domani (IT)
ILM,Il Manifesto (IT)
IlMess,Il Messaggero (IT)
ILN,Il Nuovo (IT)
ILP,Il Piccolo (IT)
IM,Il Mattino (IT)
IMA,International Migrants Alliance (HK)
IMEDANA,Institut für Medien und Projektarbeit (DE)
IMK,IMK Internationaler Verein für die Menschenrechte der Kurden e. V. (DE)
Imkander,Imkander (TR)
INDbe,Independent Media Center (BE)
IndCat,Independent Catholic News (UK)
INDd,Independent Media Center (DE)
Independent,The Independent (GB)
IndependentNG,Independent Nigeria (NG)
INDf,Independent Media Center (FR)
INDgb,Independent Media Center (GB)
INDi,Independent Media Center (IT)
INDie,Independent (IE)
INDm,Independent Media Center-Marseille (FR)
Indymedia,Independent Media Center
INexile,Inexile (GB)
INF,Infinito Edizioni (IT)
info,L'Info (FR)
InfoMigrants,Info Migrants Europe
Infomob,Infomobile (GR)
Informe Raxen,Bulletin of Movimiento contra la Intolerancia (ES)
inq7,Inquirer 7 (US)
Inquest,INQUEST – United Campaigns for Justice (GB)
Interaksyon,Interaksyon (PH)
IntHeraldTribune,International Herald Tribune (FR)
IOL,Independent Online (ZA)
NationalCA,National Post (CD)
NationPK,The Nation (PK)
Nätverket mot rasism,Nätverket Mot Rasism (SE)
NBC,National Broadcasting Company (US)
NBF,Nigerian Best Forum (NG)
NBK,Nederland Bekent Kleur (NL)
NCADC,National Coalition of Anti-Deportation Campaigns (GB)
NCAs,News Central Asia (TM)
NCRM,National Civil Rights Movement (GB)
ND,Neues Deutschland (DE)
NDTV,New Delhi Television Limited (IN)
Nederlands Dagblad,Nederlands Dagblad (NL)
NeosKos,Neos Kosmos (AU)
Nerja,Nerja News (ES)
NeueVorarlbergerTageszeit,Neue Vorarlberger Tageszeitung (AT)
NewArab,The New Arab Outlet (GB)
News24,News24 (ZA)
Newsaust,News from Australia (AU)
NewsD,NewsDesk (SE)
Newsit,NEWSIT (GR)
Newsweek,Newsweek (US)
NI,Nigeria Independent (NG)
Nice,Nice-Matin (FR)
NigerianVoice,The Nigerian Voice (NI)
NigeriaToday,Nigeria Today (NG)
NMNH,Social Impact – Die Agentur für soziale Innovationen (AT)
No Pasaran,No Pasaran/Reflexes (FR)
No-Deportations,No-Deportations (GB)
NOB,No Border Center
NoBordersNott,No Borders Nottingham (GB)
NODO50,Contrainformación en Red (ES)
NoHuman,No Human is illegal (IR)
Nopoliceraids,No Police Raids (NL)
NordLittoral,Nord Littoral (FR)
NOS,Nederlandse Omroep Stichting (NL)
Nouvel Obs,Nouvel Observateur (FR)
Novinite,Novinite (BG)
NR,No Racism (AT)
NRC,NRC-next (NL)
NRK,Norsk rikskringkasting (NRK) (NO)
NRT,Nalia Radio and Television (KRG)
NT,Nigerian Tribune (NG)
Nt7,Newstime on ProSieben (DE)
NU,Nu.nlpaper (NL)
NW,Neue Westfälische (DE)
Ny Tid,Ny Tid (NO)
NYboat,New York Boat Show (US)
NYtimes,The New York Times (US)
NZZ,Neue Zürcher Zeitung (CH)
Obs.france24,Les Observateurs/France 24 (FR)
ObsAlgerie,ObservAlgerie (DZ)
Observer Gazette,The Observer Gazette
OBV,Operation Black Vote (GB)
OCPM,Obra Católica Portuguesa de Migrações (PT)
ODILI,Odili.net (NG)
ODP,Observatorio de Prensa (ES)
Odysseus,Odysseus – Academic Network Legal Studies Immigration Asylum (BE)
OL,Off Limits – Antirassistische Zeitschrift (DE)
Olive,Olive Press (ES)
OMCT,World Organisation Against Torture (CH)
OmroepG,Omroep Gelderland (NL)
OmroepWest,Omroep West (NL)
Onda,Onda Local (ES)
OOB,Oman Daily Observer (OM)
OpenDem,Open Democracy (GB)
OpenGrenzen,Open Grenzen – Frontières Ouvertes (BE)
OpenMigration,"Open Migration project, Coalizione Italiana Libertà e Diritti Civili  (IT)"
ORF,Österreichischer Rundfunk – Minderheitenredaktion (AT)
OSF,Open Society Foundation (HU)
Osnabr.Zeit,Neue Osnabrücker Zeitung (DE)
OTZ,Ostthüringer Zeitung (DE)
Ouest-France,Société Ouest-France (FR)
OuestT,Ouest Tribune (DZ)
PACE,Parliamentary Assembly of the Council of Europe
PAIH,Positive Action in Housing (GB)
PAJOL,Pajol (FR)
PakToday,Pakistan Today (PK)
PANOR,Panorama (IT)
Paris-luttes,Paris-Luttes.info (FR)
Parisien,Le Parisen (FR)
Parool,Het Parool (NL)
PassH,Passeurs d'hospitalités - des exilés en Calais (FR)
patrasT,Patras Times (GR)
Pax Christi,Pax Christi International (BE)
PBS,Public Broadcasting Service (US)
PCM,Peace & Conflict Monitor – University for Peace
PerCat,El Periódico de Cataluña (ES)
Peterboroughtoday,Peterborough Today (GB)
PICUM,Platform for International Cooperation on Undocumented Migrants (BE)
PlaZa,Plaza Luxemburg (LU)
PLi,Planet Internet (NL)
Pogledi,Pogledi (RS)
Polbe,Berneser Polizei (CH)
TeleSur,TeleSUR (VE)
Tempo,Il Tempo (IT)
Terra,Terra (ES)
Terred'errance,Terre D'Errance (FR)
TF1,TF1 News (FR)
TFN,Third Force News - Scotland (GB)
Tgcom,Tgcom (IT)
The Age,The Age (AU)
The Courier,The Courier (GB)
The News,The News International (PK)
The Standard,The Standard (GB)
TheCourier,The Courier (GB)
TheEntertainerOnline,The Entertainer Online (ES)
TheGlobe,The Globe and Mail (CA)
TheHerald,The Herald (GB)
TheHuff,The Huffington Post (GB)
TheNews,The News (GB)
Thestar,The Star (ZA)
ThisIsKent,This is Kent (GB)
ThisIsNott,This Is Nottingham (GB)
Thruttig,Afghanistan Zhaghdablai – Thomas Ruttig über Afghanistan
Times,The Times (GB)
TimesM,The Times of Malta (MT)
TimesofIsrael,The Times of Israel (IL)
Tiroler Tageszeitung,Tiroler Tageszeitung (AT)
Tisc,Tiscali Notizie (IT)
TK,Thrakinea (GR)
TL,Terrelibere (IT)
TN,TeleNoticies (ES)
TNE,The Northern Echo (GB)
TNnum,Tunisie Numerique (TN)
TodZam,Today's Zaman (TR)
Top News,Top News (IN)
TotSloveniaNews,Total Slovenia News (SI)
ToV,To Vima (GR)
TownCrier,The Town-Crier (GB)
TP,Turkish Press (TR)
Tribuna,Nueva Tribuna (ES)
TribuneGeneve,Tribune de Geneve (CH)
Trierer Volksfreund,Trierer Volksfreund (DE)
TRMinute,Turkish Minute (TR)
Trouw,Trouw (NL)
TRP,The Tripoli Post (LY)
TS,Think Spain (ES)
TSA,Tout Sur l'Algerie (DZ)
TunisieSoir,Tunisie Soir (TN)
TurkeyPurge,Turkey Purge (TR)
TV5,TV5 Monde (FR)
TVXS,TVXS (GR)
TW,Turkish Weekly (TR)
TweeVandaag,Twee Vandaag (NL)
TySp,Typically Spanish (ES)
U4IB,United 4 Iran – Bayern (DE)
Ua,UAE Digest (AE)
UCGlasgow,Unity Centre Glasgow (GB)
Uckermark-Kurier,Uckermark Kurier (DE)
UE,"Universal Embassy, Forum Ambassade Universelle (BE)"
UN,United Nations News Centre
UNHCR,United Nations High Commissioner for Refugees
UNHCR Italy,"United Nations High Commissioner for Refugees, Italian office (IT)"
UNHCR Libya,"United Nations High Commissioner for Refugees, Libyan office (LY)"
UNHCR Serbia,"United Nations High Commissioner for Refugees, Serbian office (RS)"
UNHCR Spain,"United Nations High Commissioner for Refugees, Spanish office (ES)"
Unità,L'Unità (IT)
Universal,El Universal (CO)
Universo,El Universo (ES)
UNMIK,UNMIK Division of Public Information (XZ)
UnSarda,L'Unione Sarda (IT)
CRIDEM,Convergence Républicaine pour l'Instauration de la Democratie en Mauritanie (MA)
CS,The City at a Time of Crisis (GR)
CSE10,Collectif de Soutien des Exilés (FR)
CTV,CTV News (CA)
CV,Comite de Vigilance Aubervilliers (FR)
CypMail,Cyprus Mail (CY)
